season,conference,seed,team
2002,AFC,1,Raiders
2002,AFC,2,Titans
2002,AFC,3,Steelers
2002,AFC,4,Jets
2002,AFC,5,Colts
2002,AFC,6,Browns
2002,NFC,1,Eagles
2002,NFC,2,Buccaneers
2002,NFC,3,Packers
2002,NFC,4,49ers
2002,NFC,5,Giants
2002,NFC,6,Falcons
2003,AFC,1,Patriots
2003,AFC,2,Chiefs
2003,AFC,3,Colts
2003,AFC,4,Ravens
2003,AFC,5,Titans
2003,AFC,6,Broncos
2003,NFC,1,Eagles
2003,NFC,2,Rams
2003,NFC,3,Panthers
2003,NFC,4,Packers
2003,NFC,5,Seahawks
2003,NFC,6,Cowboys
2004,AFC,1,Steelers
2004,AFC,2,Patriots
2004,AFC,3,Colts
2004,AFC,4,Chargers
2004,AFC,5,Jets
2004,AFC,6,Broncos
2004,NFC,1,Eagles
2004,NFC,2,Falcons
2004,NFC,3,Packers
2004,NFC,4,Seahawks
2004,NFC,5,Rams
2004,NFC,6,Vikings
2005,AFC,1,Colts
2005,AFC,2,Broncos
2005,AFC,3,Bengals
2005,AFC,4,Patriots
2005,AFC,5,Jaguars
2005,AFC,6,Steelers
2005,NFC,1,Seahawks
2005,NFC,2,Bears
2005,NFC,3,Buccaneers
2005,NFC,4,Giants
2005,NFC,5,Panthers
2005,NFC,6,Commanders
2006,AFC,1,Chargers
2006,AFC,2,Ravens
2006,AFC,3,Colts
2006,AFC,4,Patriots
2006,AFC,5,Jets
2006,AFC,6,Chiefs
2006,NFC,1,Bears
2006,NFC,2,Saints
2006,NFC,3,Eagles
2006,NFC,4,Seahawks
2006,NFC,5,Cowboys
2006,NFC,6,Giants
2007,AFC,1,Patriots
2007,AFC,2,Colts
2007,AFC,3,Chargers
2007,AFC,4,Steelers
2007,AFC,5,Jaguars
2007,AFC,6,Titans
2007,NFC,1,Cowboys
2007,NFC,2,Packers
2007,NFC,3,Seahawks
2007,NFC,4,Buccaneers
2007,NFC,5,Giants
2007,NFC,6,Commanders
2008,AFC,1,Titans
2008,AFC,2,Steelers
2008,AFC,3,Dolphins
2008,AFC,4,Chargers
2008,AFC,5,Colts
2008,AFC,6,Ravens
2008,NFC,1,Giants
2008,NFC,2,Panthers
2008,NFC,3,Vikings
2008,NFC,4,Cardinals
2008,NFC,5,Falcons
2008,NFC,6,Eagles
2009,AFC,1,Colts
2009,AFC,2,Chargers
2009,AFC,3,Patriots
2009,AFC,4,Bengals
2009,AFC,5,Jets
2009,AFC,6,Ravens
2009,NFC,1,Saints
2009,NFC,2,Vikings
2009,NFC,3,Cowboys
2009,NFC,4,Cardinals
2009,NFC,5,Packers
2009,NFC,6,Eagles
2010,AFC,1,Patriots
2010,AFC,2,Steelers
2010,AFC,3,Colts
2010,AFC,4,Chiefs
2010,AFC,5,Ravens
2010,AFC,6,Jets
2010,NFC,1,Falcons
2010,NFC,2,Bears
2010,NFC,3,Eagles
2010,NFC,4,Seahawks
2010,NFC,5,Saints
2010,NFC,6,Packers
2011,AFC,1,Patriots
2011,AFC,2,Ravens
2011,AFC,3,Texans
2011,AFC,4,Broncos
2011,AFC,5,Steelers
2011,AFC,6,Bengals
2011,NFC,1,Packers
2011,NFC,2,49ers
2011,NFC,3,Saints
2011,NFC,4,Giants
2011,NFC,5,Falcons
2011,NFC,6,Lions
2012,AFC,1,Broncos
2012,AFC,2,Patriots
2012,AFC,3,Texans
2012,AFC,4,Ravens
2012,AFC,5,Colts
2012,AFC,6,Bengals
2012,NFC,1,Falcons
2012,NFC,2,49ers
2012,NFC,3,Packers
2012,NFC,4,Commanders
2012,NFC,5,Seahawks
2012,NFC,6,Vikings
2013,AFC,1,Broncos
2013,AFC,2,Patriots
2013,AFC,3,Bengals
2013,AFC,4,Colts
2013,AFC,5,Chiefs
2013,AFC,6,Chargers
2013,NFC,1,Seahawks
2013,NFC,2,Panthers
2013,NFC,3,Eagles
2013,NFC,4,Packers
2013,NFC,5,49ers
2013,NFC,6,Saints
2014,AFC,1,Patriots
2014,AFC,2,Broncos
2014,AFC,3,Steelers
2014,AFC,4,Colts
2014,AFC,5,Bengals
2014,AFC,6,Ravens
2014,NFC,1,Seahawks
2014,NFC,2,Packers
2014,NFC,3,Cowboys
2014,NFC,4,Panthers
2014,NFC,5,Cardinals
2014,NFC,6,Lions
2015,AFC,1,Broncos
2015,AFC,2,Patriots
2015,AFC,3,Bengals
2015,AFC,4,Texans
2015,AFC,5,Chiefs
2015,AFC,6,Steelers
2015,NFC,1,Panthers
2015,NFC,2,Cardinals
2015,NFC,3,Vikings
2015,NFC,4,Commanders
2015,NFC,5,Packers
2015,NFC,6,Seahawks
2016,AFC,1,Patriots
2016,AFC,2,Chiefs
2016,AFC,3,Steelers
2016,AFC,4,Texans
2016,AFC,5,Raiders
2016,AFC,6,Dolphins
2016,NFC,1,Cowboys
2016,NFC,2,Falcons
2016,NFC,3,Seahawks
2016,NFC,4,Packers
2016,NFC,5,Giants
2016,NFC,6,Lions
2017,AFC,1,Patriots
2017,AFC,2,Steelers
2017,AFC,3,Jaguars
2017,AFC,4,Chiefs
2017,AFC,5,Titans
2017,AFC,6,Bills
2017,NFC,1,Eagles
2017,NFC,2,Vikings
2017,NFC,3,Rams
2017,NFC,4,Saints
2017,NFC,5,Panthers
2017,NFC,6,Falcons
2018,AFC,1,Chiefs
2018,AFC,2,Patriots
2018,AFC,3,Texans
2018,AFC,4,Ravens
2018,AFC,5,Chargers
2018,AFC,6,Colts
2018,NFC,1,Saints
2018,NFC,2,Rams
2018,NFC,3,Bears
2018,NFC,4,Cowboys
2018,NFC,5,Seahawks
2018,NFC,6,Eagles
2019,AFC,1,Ravens
2019,AFC,2,Chiefs
2019,AFC,3,Patriots
2019,AFC,4,Texans
2019,AFC,5,Bills
2019,AFC,6,Titans
2019,NFC,1,49ers
2019,NFC,2,Packers
2019,NFC,3,Saints
2019,NFC,4,Eagles
2019,NFC,5,Seahawks
2019,NFC,6,Vikings
2020,AFC,1,Chiefs
2020,AFC,2,Bills
2020,AFC,3,Steelers
2020,AFC,4,Titans
2020,AFC,5,Ravens
2020,AFC,6,Browns
2020,AFC,7,Colts
2020,NFC,1,Packers
2020,NFC,2,Saints
2020,NFC,3,Seahawks
2020,NFC,4,Commanders
2020,NFC,5,Buccaneers
2020,NFC,6,Rams
2020,NFC,7,Bears
2021,AFC,1,Titans
2021,AFC,2,Chiefs
2021,AFC,3,Bills
2021,AFC,4,Bengals
2021,AFC,5,Raiders
2021,AFC,6,Patriots
2021,AFC,7,Steelers
2021,NFC,1,Packers
2021,NFC,2,Buccaneers
2021,NFC,3,Cowboys
2021,NFC,4,Rams
2021,NFC,5,Cardinals
2021,NFC,6,49ers
2021,NFC,7,Eagles
2022,AFC,1,Chiefs
2022,AFC,2,Bills
2022,AFC,3,Bengals
2022,AFC,4,Jaguars
2022,AFC,5,Chargers
2022,AFC,6,Ravens
2022,AFC,7,Dolphins
2022,NFC,1,Eagles
2022,NFC,2,49ers
2022,NFC,3,Vikings
2022,NFC,4,Buccaneers
2022,NFC,5,Cowboys
2022,NFC,6,Giants
2022,NFC,7,Seahawks
2023,AFC,1,Ravens
2023,AFC,2,Bills
2023,AFC,3,Chiefs
2023,AFC,4,Texans
2023,AFC,5,Browns
2023,AFC,6,Dolphins
2023,AFC,7,Steelers
2023,NFC,1,49ers
2023,NFC,2,Cowboys
2023,NFC,3,Lions
2023,NFC,4,Buccaneers
2023,NFC,5,Eagles
2023,NFC,6,Rams
2023,NFC,7,Packers
2024,AFC,1,Chiefs
2024,AFC,2,Bills
2024,AFC,3,Ravens
2024,AFC,4,Texans
2024,AFC,5,Chargers
2024,AFC,6,Steelers
2024,AFC,7,Broncos
2024,NFC,1,Lions
2024,NFC,2,Eagles
2024,NFC,3,Buccaneers
2024,NFC,4,Rams
2024,NFC,5,Vikings
2024,NFC,6,Commanders
2024,NFC,7,Packers
2025,AFC,1,Broncos
2025,AFC,2,Patriots
2025,AFC,3,Jaguars
2025,AFC,4,Steelers
2025,AFC,5,Texans
2025,AFC,6,Bills
2025,AFC,7,Chargers
2025,NFC,1,Seahawks
2025,NFC,2,Bears
2025,NFC,3,Eagles
2025,NFC,4,Panthers
2025,NFC,5,Rams
2025,NFC,6,49ers
2025,NFC,7,Packers